product_id,mae_cv
20502,9999
20503,9999
20505,9999
20508,9999
20509,9999
20510,9999
20513,9999
20514,9999
20517,9999
20520,9999
20521,9999
20522,9999
20523,9999
20524,9999
20525,9999
20526,9999
20527,9999
20530,9999
20531,9999
20532,9999
20536,9999
20537,9999
20538,9999
20539,9999
20540,9999
20541,9999
20542,9999
20544,9999
20547,9999
20548,9999
20549,9999
20551,9999
20552,9999
20553,9999
20555,9999
20558,9999
20559,9999
20560,9999
20561,9999
20563,9999
20565,9999
20567,9999
20568,9999
20569,9999
20570,9999
20571,9999
20572,9999
20574,9999
20575,9999
20576,9999
20577,9999
20578,9999
20579,9999
20580,9999
20583,9999
20585,9999
20586,9999
20588,9999
20589,9999
20592,9999
20593,9999
20596,9999
20597,9999
20599,9999
20600,9999
20601,9999
20602,9999
20603,9999
20604,9999
20605,9999
20606,9999
20609,9999
20611,9999
20612,9999
20614,9999
20615,9999
20617,9999
20620,9999
20621,9999
20622,9999
20623,9999
20624,9999
20627,9999
20628,9999
20629,9999
20632,9999
20633,9999
20636,9999
20637,9999
20638,9999
20639,9999
20640,9999
20641,9999
20642,9999
20644,9999
20646,9999
20647,9999
20649,9999
20651,9999
20652,9999
20653,9999
20654,9999
20655,9999
20657,9999
20658,9999
20659,9999
20660,9999
20661,9999
20662,9999
20663,9999
20664,9999
20666,9999
20667,9999
20670,9999
20672,9999
20673,9999
20674,9999
20676,9999
20677,9999
20678,9999
20679,9999
20680,9999
20681,9999
20682,9999
20684,9999
20685,9999
20686,9999
20689,9999
20691,9999
20693,9999
20694,9999
20696,9999
20697,9999
20699,9999
20700,9999
20701,9999
20702,9999
20703,9999
20705,9999
20706,9999
20708,9999
20709,9999
20711,9999
20713,9999
20714,9999
20715,9999
20719,9999
20720,9999
20721,9999
20724,9999
20729,9999
20730,9999
20732,9999
20733,9999
20735,9999
20737,9999
20739,9999
20741,9999
20742,9999
20743,9999
20744,9999
20745,9999
20746,9999
20749,9999
20750,9999
20751,9999
20754,9999
20756,9999
20757,9999
20758,9999
20759,9999
20761,9999
20762,9999
20765,9999
20768,9999
20771,9999
20772,9999
20773,9999
20774,9999
20775,9999
20777,9999
20781,9999
20783,9999
20785,9999
20786,9999
20788,9999
20789,9999
20793,9999
20795,9999
20800,9999
20801,9999
20802,9999
