Producto 20117: MAEs - LGBM=37.5383, Reg=33.3600, ARIMA=18.6931, AutoGluon=inf, XGB=inf
Producto 20118: MAEs - LGBM=18.6331, Reg=35.1006, ARIMA=9.1591, AutoGluon=inf, XGB=inf
Producto 20119: MAEs - LGBM=52.2447, Reg=78.1448, ARIMA=3.7909, AutoGluon=inf, XGB=inf
Producto 20120: MAEs - LGBM=4.1030, Reg=8.3678, ARIMA=0.3893, AutoGluon=inf, XGB=inf
Producto 20121: MAEs - LGBM=0.7001, Reg=26.2050, ARIMA=17.3399, AutoGluon=inf, XGB=inf
Producto 20122: MAEs - LGBM=7.7811, Reg=12.9352, ARIMA=13.0518, AutoGluon=inf, XGB=inf
Producto 20123: MAEs - LGBM=10.7904, Reg=9.7227, ARIMA=5.5540, AutoGluon=inf, XGB=inf
Producto 20124: MAEs - LGBM=34.6404, Reg=33.4520, ARIMA=19.3863, AutoGluon=inf, XGB=inf
Producto 20125: MAEs - LGBM=21.9843, Reg=19.9615, ARIMA=26.8989, AutoGluon=inf, XGB=inf
Producto 20126: MAEs - LGBM=4.0807, Reg=7.8614, ARIMA=4.7820, AutoGluon=inf, XGB=inf
Producto 20129: MAEs - LGBM=19.1970, Reg=4.1298, ARIMA=12.0549, AutoGluon=inf, XGB=inf
Producto 20130: MAEs - LGBM=14.6389, Reg=3.4384, ARIMA=34.4771, AutoGluon=inf, XGB=inf
Producto 20132: MAEs - LGBM=30.3711, Reg=39.1460, ARIMA=32.6073, AutoGluon=inf, XGB=inf
Producto 20133: MAEs - LGBM=33.3368, Reg=33.3559, ARIMA=33.9265, AutoGluon=inf, XGB=inf
Producto 20134: MAEs - LGBM=13.7456, Reg=11.3699, ARIMA=20.5193, AutoGluon=inf, XGB=inf
Producto 20135: MAEs - LGBM=5.9853, Reg=25.4048, ARIMA=16.5125, AutoGluon=inf, XGB=inf
Producto 20137: MAEs - LGBM=25.9854, Reg=23.5314, ARIMA=17.5100, AutoGluon=inf, XGB=inf
Producto 20138: MAEs - LGBM=35.1831, Reg=29.8943, ARIMA=12.1509, AutoGluon=inf, XGB=inf
Producto 20139: MAEs - LGBM=6.0454, Reg=9.3118, ARIMA=6.1607, AutoGluon=inf, XGB=inf
Producto 20140: MAEs - LGBM=1.2255, Reg=5.0113, ARIMA=2.0745, AutoGluon=inf, XGB=inf
Producto 20142: MAEs - LGBM=19.8917, Reg=8.1351, ARIMA=8.6876, AutoGluon=inf, XGB=inf
Producto 20143: MAEs - LGBM=71.8677, Reg=72.5235, ARIMA=70.4243, AutoGluon=inf, XGB=inf
Producto 20144: MAEs - LGBM=15.2766, Reg=8.3364, ARIMA=18.1828, AutoGluon=inf, XGB=inf
Producto 20145: MAEs - LGBM=10.9449, Reg=5.5473, ARIMA=2.8242, AutoGluon=inf, XGB=inf
Producto 20146: MAEs - LGBM=34.4304, Reg=47.6857, ARIMA=31.8825, AutoGluon=inf, XGB=inf
Producto 20148: MAEs - LGBM=5.4188, Reg=12.8442, ARIMA=7.3525, AutoGluon=inf, XGB=inf
Producto 20150: MAEs - LGBM=44.8993, Reg=41.0076, ARIMA=29.5024, AutoGluon=inf, XGB=inf
Producto 20151: MAEs - LGBM=19.7649, Reg=16.5179, ARIMA=5.0504, AutoGluon=inf, XGB=inf
Producto 20152: MAEs - LGBM=24.4805, Reg=6.3877, ARIMA=5.6356, AutoGluon=inf, XGB=inf
Producto 20153: MAEs - LGBM=0.6778, Reg=4.7213, ARIMA=8.8448, AutoGluon=inf, XGB=inf
Producto 20155: MAEs - LGBM=14.0328, Reg=11.3071, ARIMA=2.9626, AutoGluon=inf, XGB=inf
Producto 20157: MAEs - LGBM=9.6409, Reg=5.8694, ARIMA=8.6054, AutoGluon=inf, XGB=inf
Producto 20158: MAEs - LGBM=2.5322, Reg=12.2502, ARIMA=9.8909, AutoGluon=inf, XGB=inf
Producto 20159: MAEs - LGBM=13.3308, Reg=10.1197, ARIMA=16.2057, AutoGluon=inf, XGB=inf
Producto 20160: MAEs - LGBM=8.8685, Reg=8.0568, ARIMA=7.6929, AutoGluon=inf, XGB=inf
Producto 20161: MAEs - LGBM=22.5066, Reg=27.9365, ARIMA=24.7103, AutoGluon=inf, XGB=inf
Producto 20162: MAEs - LGBM=23.4502, Reg=21.1747, ARIMA=5.4785, AutoGluon=inf, XGB=inf
Producto 20164: MAEs - LGBM=18.3571, Reg=15.7715, ARIMA=8.2292, AutoGluon=inf, XGB=inf
Producto 20166: MAEs - LGBM=16.1424, Reg=8.7557, ARIMA=17.7274, AutoGluon=inf, XGB=inf
Producto 20167: MAEs - LGBM=1.7836, Reg=2.2137, ARIMA=2.1318, AutoGluon=inf, XGB=inf
Producto 20168: MAEs - LGBM=35.4768, Reg=34.8339, ARIMA=14.5244, AutoGluon=inf, XGB=inf
Producto 20170: MAEs - LGBM=9.0538, Reg=10.2271, ARIMA=19.5720, AutoGluon=inf, XGB=inf
Producto 20175: MAEs - LGBM=27.7437, Reg=30.5814, ARIMA=22.9777, AutoGluon=inf, XGB=inf
Producto 20176: MAEs - LGBM=18.5375, Reg=13.6805, ARIMA=18.3563, AutoGluon=inf, XGB=inf
Producto 20177: MAEs - LGBM=16.3691, Reg=9.3761, ARIMA=13.2286, AutoGluon=inf, XGB=inf
Producto 20179: MAEs - LGBM=3.0275, Reg=3.6449, ARIMA=0.7359, AutoGluon=inf, XGB=inf
Producto 20180: MAEs - LGBM=4.2812, Reg=6.7182, ARIMA=2.6064, AutoGluon=inf, XGB=inf
Producto 20181: MAEs - LGBM=6.8256, Reg=0.1674, ARIMA=6.2167, AutoGluon=inf, XGB=inf
Producto 20182: MAEs - LGBM=20.3027, Reg=15.8998, ARIMA=16.1661, AutoGluon=inf, XGB=inf
Producto 20183: MAEs - LGBM=20.7790, Reg=18.2295, ARIMA=9.8150, AutoGluon=inf, XGB=inf
Producto 20184: MAEs - LGBM=13.9093, Reg=7.7110, ARIMA=10.2617, AutoGluon=inf, XGB=inf
Producto 20187: MAEs - LGBM=20.6508, Reg=19.2802, ARIMA=16.2825, AutoGluon=inf, XGB=inf
Producto 20188: MAEs - LGBM=16.8513, Reg=13.3855, ARIMA=13.8972, AutoGluon=inf, XGB=inf
Producto 20189: MAEs - LGBM=1.8130, Reg=1.2142, ARIMA=10.2027, AutoGluon=inf, XGB=inf
Producto 20192: MAEs - LGBM=15.4299, Reg=2.9781, ARIMA=inf, AutoGluon=inf, XGB=inf
Producto 20193: MAEs - LGBM=12.5379, Reg=7.7450, ARIMA=10.1547, AutoGluon=inf, XGB=inf
Producto 20196: MAEs - LGBM=0.1468, Reg=7.7680, ARIMA=2.2394, AutoGluon=inf, XGB=inf
Producto 20197: MAEs - LGBM=9.7612, Reg=5.4370, ARIMA=1.4313, AutoGluon=inf, XGB=inf
Producto 20198: MAEs - LGBM=14.7559, Reg=6.2997, ARIMA=15.6246, AutoGluon=inf, XGB=inf
Producto 20200: MAEs - LGBM=14.0117, Reg=7.9452, ARIMA=13.8774, AutoGluon=inf, XGB=inf
Producto 20201: MAEs - LGBM=11.1748, Reg=10.4708, ARIMA=6.8708, AutoGluon=inf, XGB=inf
Producto 20202: MAEs - LGBM=16.2864, Reg=18.7740, ARIMA=18.2959, AutoGluon=inf, XGB=inf
Producto 20203: MAEs - LGBM=16.2617, Reg=15.2740, ARIMA=22.9950, AutoGluon=inf, XGB=inf
Producto 20205: MAEs - LGBM=7.5322, Reg=0.8335, ARIMA=5.6716, AutoGluon=inf, XGB=inf
Producto 20206: MAEs - LGBM=13.4715, Reg=13.3015, ARIMA=8.8267, AutoGluon=inf, XGB=inf
Producto 20207: MAEs - LGBM=20.3609, Reg=23.6168, ARIMA=1.0919, AutoGluon=inf, XGB=inf
Producto 20208: MAEs - LGBM=12.5072, Reg=5.1954, ARIMA=10.9536, AutoGluon=inf, XGB=inf
Producto 20209: MAEs - LGBM=13.5062, Reg=9.1976, ARIMA=13.3533, AutoGluon=inf, XGB=inf
